"路径","是否存在"
"AGENTS.md","True"
"SPEC.md","True"
"pyproject.toml","True"
"Makefile","True"
"README.md","True"
"src/llm4graphgen/smoke.py","True"
"tests/test_smoke.py","True"
"docs/阶段0_复现规格与中文日志规范.md","True"
"runs/stage0/验收报告.md","True"
"runs/stage0/codex总结.md","True"
"runs/stage0/关键输出/pip_install验证.txt","True"
"runs/stage0/关键输出/smoke输出.txt","True"
"runs/stage0/关键输出/pytest输出.txt","True"
"runs/stage0/关键输出/make_check输出.txt","True"
"runs/stage0/关键输出/make_stage0_summary输出.txt","True"
"runs/stage0/关键输出/stage0_summary输出.txt","True"
"runs/stage0/关键输出/目录结构.txt","True"
"runs/stage0/关键输出/关键文件清单.csv","True"
"runs/20260214_132438/run.log","True"
"runs/20260214_135133/run.log","True"
