"路径","是否存在"
"src/llm4graphgen/stage4_property.py","True"
"tests/test_stage4_property.py","True"
"runs/20260214_143230/property_metrics.csv","True"
"runs/20260214_143230/property_samples.csv","True"
"runs/20260214_143230/failure_cases.csv","True"
"runs/20260214_143230/llm_io.jsonl","True"
"runs/20260214_143230/baseline_train_summary.csv","True"
"runs/20260214_143230/run.log","True"
"runs/stage4/验收报告.md","True"
"runs/stage4/总报告.md","True"
"runs/stage4/codex总结.md","True"
"runs/stage4/关键输出/property_metrics.csv","True"
"runs/stage4/关键输出/property_samples.csv","True"
"runs/stage4/关键输出/failure_cases.csv","True"
"runs/stage4/关键输出/llm_io.jsonl","True"
"runs/stage4/关键输出/baseline_train_summary.csv","True"
"runs/stage4/关键输出/run.log","True"
"runs/stage4/关键输出/pytest输出.txt","True"
"runs/stage4/关键输出/stage4控制台输出.txt","True"
"runs/stage4/关键输出/关键文件清单.csv","True"
