"路径","是否存在"
"src/llm4graphgen/providers/base.py","True"
"src/llm4graphgen/providers/mock_provider.py","True"
"src/llm4graphgen/providers/openai_provider.py","True"
"src/llm4graphgen/parsers/graph_parser.py","True"
"src/llm4graphgen/stage1_smoke.py","True"
"tests/test_stage1_smoke.py","True"
"runs/20260214_140406/run.log","True"
"runs/20260214_140406/llm_io.jsonl","True"
"runs/20260214_140406/parser_result.json","True"
"runs/20260214_140406_fail/run.log","True"
"runs/20260214_140406_fail/llm_io.jsonl","True"
"runs/20260214_140406_fail/parser_result.json","True"
"runs/20260214_140616/run.log","True"
"runs/stage1/验收报告.md","True"
"runs/stage1/codex总结.md","True"
"runs/stage1/关键输出/llm_io成功样例.jsonl","True"
"runs/stage1/关键输出/llm_io失败样例.jsonl","True"
"runs/stage1/关键输出/parser成功样例.json","True"
"runs/stage1/关键输出/parser失败样例.json","True"
"runs/stage1/关键输出/run成功样例.log","True"
"runs/stage1/关键输出/run失败样例.log","True"
"runs/stage1/关键输出/stage1_smoke成功控制台输出.txt","True"
"runs/stage1/关键输出/stage1_smoke失败控制台输出.txt","True"
"runs/stage1/关键输出/stage1_smoke退出码.txt","True"
"runs/stage1/关键输出/pytest输出.txt","True"
"runs/stage1/关键输出/关键文件清单.csv","True"
