"路径","是否存在"
"src/llm4graphgen/stage3_distribution.py","True"
"tests/test_stage3_distribution.py","True"
"runs/20260214_142537/distribution_metrics.csv","True"
"runs/20260214_142537/distribution_samples.csv","True"
"runs/20260214_142537/failure_cases.csv","True"
"runs/20260214_142537/llm_io.jsonl","True"
"runs/20260214_142537/run.log","True"
"runs/stage3/验收报告.md","True"
"runs/stage3/codex总结.md","True"
"runs/stage3/关键输出/distribution_metrics.csv","True"
"runs/stage3/关键输出/distribution_samples.csv","True"
"runs/stage3/关键输出/failure_cases.csv","True"
"runs/stage3/关键输出/llm_io.jsonl","True"
"runs/stage3/关键输出/run.log","True"
"runs/stage3/关键输出/pytest输出.txt","True"
"runs/stage3/关键输出/stage3控制台输出.txt","True"
"runs/stage3/关键输出/关键文件清单.csv","True"
