sample_id,raw_output,is_valid,canonical_smiles,parse_failure_reason,classifier_score,classifier_positive,is_novel_vs_fewshot,mol_weight,logp,num_h_donors,num_h_acceptors
1,CCN(CC)CC,True,CCN(CC)CC,,0.603216,1,False,101.193,1.3481,0,1
2,CCOC(=O)N1CCN(CC1)C,True,CCOC(=O)N1CCN(C)CC1,,0.825626,1,False,172.22799999999998,0.3903000000000001,0,3
3,c1ccccc1N,True,Nc1ccccc1,,0.892346,1,False,93.12899999999999,1.2688000000000001,1,1
4,c1ccncc1,True,c1ccncc1,,0.752406,1,False,79.10199999999998,1.0816,0,1
5,CCN1CCN(CC1)C(=O)C,True,CCN1CCN(C(C)=O)CC1,,0.809465,1,False,156.22899999999998,0.17039999999999988,0,2
6,c1ccc(-c2ccccn2)cc1,True,c1ccc(-c2ccccn2)cc1,,0.944233,1,False,155.19999999999996,2.7486000000000006,0,1
7,CC(=O)Nc1ccccc1,True,CC(=O)Nc1ccccc1,,0.882010,1,True,135.16599999999997,1.6449999999999998,1,1
8,c1ccc2[nH]ccc2c1,True,c1ccc2[nH]ccc2c1,,0.926634,1,False,117.15099999999997,2.1678999999999995,1,0
9,CCO,True,CCO,,0.120589,0,False,46.069,-0.0014000000000000123,1,1
10,C1CC1,True,C1CC1,,0.132573,0,True,42.080999999999996,1.1703,0,0
11,C1=CC=CC=C1O,True,Oc1ccccc1,,0.788379,1,True,94.11299999999999,1.3921999999999999,1,1
12,N[N+](=O)[O-],True,N[N+](=O)[O-],,0.277745,0,True,62.028000000000006,-0.8632,1,2
13,CCCCCCCC,True,CCCCCCCC,,0.132204,0,True,114.232,3.3668000000000022,0,0
14,CC(C)(C)O,True,CC(C)(C)O,,0.151631,0,True,74.12299999999999,0.7771999999999999,1,1
15,c1ccnc(-c2ccccc2)c1,True,c1ccc(-c2ccccn2)cc1,,0.944233,1,False,155.19999999999996,2.7486000000000006,0,1
16,CC(=O)N1CCCC1,True,CC(=O)N1CCCC1,,0.471893,0,True,113.16000000000001,0.6287,0,1
17,c1cc(N)ccc1O,True,Nc1ccc(O)cc1,,0.850764,1,True,109.12799999999999,0.9743999999999999,2,2
18,Nc1ccc(Cl)cc1,True,Nc1ccc(Cl)cc1,,0.799336,1,True,127.574,1.9222,1,1
19,invalid_smiles,False,,RDKit 无法解析该 SMILES。,,,,,,,
20,C1CC1(,False,,RDKit 无法解析该 SMILES。,,,,,,,
21,,False,,SMILES 为空字符串。,,,,,,,
